Species,JFBM,Yr.,Mo.,Ind.,SL (mm),Bin,Locality,Photo label,Prey #,Mag,Prey,category,Resolution,Width (pix),Width (mm),Correct (mm),Width (um),Length (pix),Length (mm),Correct (mm),Length (um),Silh area (pix),Silh area (mm^2),Correct (mm^2),Ellipse area (mm^2),Scaling factor,Scaled width (mm),Scaled length (mm),Volume (mm^3),
Acropoma hanedai,49384,2019,2,28,31,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,15,32,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,14,33,30,,,,1,unidentified crustacean,crustacean,,,,,,,,,,,,,,,,,7,
Acropoma hanedai,49384,2019,2,18,35,30,,,,1,unidentified crustacean,crustacean,,,,,,,,,,,,,,,,,4.5,
Acropoma hanedai,49384,2019,2,20,35,30,,,,1,unidentified crustacean,crustacean,,,,,,,,,,,,,,,,,6,
Acropoma hanedai,49353-2,2019,2,1,79,70,,,1,,"unidentifiable fish, eyes",fish,,,,,,,,,,,,,,,,,564,
Acropoma hanedai,49384,2019,2,4,35,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,11,35,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,17,35,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,24,35,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,26,35,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,27,35,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,9,36,30,,,,1,unidentified crustacean,crustacean,,,,,,,,,,,,,,,,,20,
Acropoma hanedai,49384,2019,2,16,36,30,,,,1,unidentified crustacean,crustacean,,,,,,,,,,,,,,,,,4,
Acropoma hanedai,49384,2019,2,12,36,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49353,2019,2,1,79,70,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49353-2,2019,2,2,75,70,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49353,2019,2,2,81,80,,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,32,
Acropoma hanedai,49353-2,2019,2,3,44,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,8,39,30,,,,1,unidentified crustacean,crustacean,,,,,,,,,,,,,,,,,5,
Acropoma hanedai,49353,2019,2,3,79,70,,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,25,
Acropoma hanedai,49384,2019,2,1,39,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,10,39,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49353-2,2019,2,4,39,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,2,40,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,3,40,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,22,40,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,23,41,40,,,,1,unidentified crustacean,crustacean,,,,,,,,,,,,,,,,,1,
Acropoma hanedai,49384,2019,2,19,42,40,,,,1,unidentified crustacean,crustacean,,,,,,,,,,,,,,,,,6,
Acropoma hanedai,49353,2019,2,4,89,80,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,5,42,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,21,42,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,25,42,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48733,2016,5,10(14),43,40,,,,,unidentified crustacean,crustacean,,,,,,,,,,,,,x,x,x,x,12,
Acropoma hanedai,48681,2016,5,3(18),43,40,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,,,
Acropoma hanedai,49353-2,2019,2,5,45,40,,,1,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,2,
Acropoma hanedai,49384,2019,2,6,44,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,7,44,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48696,2016,5,8,44,40,,,1,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,3,
Acropoma hanedai,48733,2016,5,8(12),44,40,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,x,,
Acropoma hanedai,49353,2019,2,5,48,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49384,2019,2,13,45,40,,,,1,unidentified crustacean,crustacean,,,,,,,,,,,,,,,,,60,
Acropoma hanedai,48696,2016,5,7,45,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,1(16),46,40,,J48681-1-A-2.0,1,,digested animal matter,animal,2560,,,2.926,,,,5.017,,,,12.946,11.529,1.123,3.286,5.633,4,
Acropoma hanedai,48681,2016,5,4(19),46,40,,J48681-4-AR-1.6,1,,"decapod, mostly digested",crustacean,2560,,,3.062,,,,6.424,,,,19.585,15.449,1.268,3.882,8.144,8,
