Species,JFBM,year,month,Ind.,SL (mm),Bin,Locality,Photo label,Prey #,Mag,Prey #,Prey,category,Resolution,Width (pix),Width (mm),Correct (mm),Width (um),Length (pix),Length (mm),Correct (mm),Length (um),Silh area (pix),Silh area (mm^2),Correct (mm^2),Ellipse area (mm^2),Scaling factor,Scaled width (mm),Scaled length (mm),Volume (mm^3),,,,
Acropoma japonicum,49354-2,2019,2,16,50,50,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354,2019,2,24,51,50,,,,,,digested animal matter,animal,,,,,,,,,,,,,,,,,6,,,,
Acropoma japonicum,49354-2,2019,2,27,53,50,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,20,54,50,,,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,50,,,,
Acropoma japonicum,49354-2,2019,2,22,55,50,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,364,,,,
Acropoma japonicum,49354-2,2019,2,23,55,50,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,24,,,,
Acropoma japonicum,49354-2,2019,2,21,55,50,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,10,56,50,,J48707-10-A,1,,1,decapod,crustacean,,,,,,,,,,,,45.88,0,#DIV/0!,#DIV/0!,#DIV/0!,70,,,,
Acropoma japonicum,49354,2019,2,18,56,50,,,1,,1,myctophid,fish,,,,,,,,,,,,,,,,,193,,,,
Acropoma japonicum,49354,2019,2,13,58,50,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354,2019,2,10,59,50,,,1,,1,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,12,,,,
Acropoma japonicum,49354,2019,2,19,59,50,,,1,,1,decapod crustacean,crustacean,,,,,,,,,,,,,,,,,28,,,,
Acropoma japonicum,49354-2,2019,2,15,59,50,,,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,12,,,,
Acropoma japonicum,49354,2019,2,19,59,50,,,1,,1,unidentifiable fish,fish,,,,,,,,,,,,,,,,,138,,,,
Acropoma japonicum,49354,2019,2,12,59,50,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,26,59,50,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,histogram of bins amd avg they ate,,
Acropoma japonicum,49354-2,2019,2,25,60,60,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,364,,bar graph of seasons and what they ate,,
