"","Species","MJar","FishID","Month","SL","Category","Vol"
"1","Acropoma japonicum","49354","49354-2_16","Feb",50,"none",NA
"2","Acropoma japonicum","49354","49354_24","Feb",51,"animal",6
"3","Acropoma japonicum","49354","49354-2_27","Feb",53,"none",NA
"4","Acropoma japonicum","49354","49354-2_20","Feb",54,"crustacean",50
"5","Acropoma japonicum","49354","49354-2_22","Feb",55,"fish",364
"6","Acropoma japonicum","49354","49354-2_23","Feb",55,"fish",24
"7","Acropoma japonicum","49354","49354-2_21","Feb",55,"none",NA
"8","Acropoma japonicum","48707","48707_1","May",85,"crustacean",9
"9","Acropoma japonicum","49354","49354_18","Feb",56,"fish",193
"10","Acropoma japonicum","49354","49354_13","Feb",58,"none",NA
"11","Acropoma japonicum","49354","49354_10","Feb",59,"crustacean",12
"12","Acropoma japonicum","49354","49354_19","Feb",59,"crustacean",28
"13","Acropoma japonicum","49354","49354-2_15","Feb",59,"crustacean",12
"14","Acropoma japonicum","49354","49354_19","Feb",59,"fish",138
"15","Acropoma japonicum","49354","49354_12","Feb",59,"none",NA
"16","Acropoma japonicum","49354","49354-2_26","Feb",59,"none",NA
"17","Acropoma japonicum","49354","49354-2_25","Feb",60,"fish",364
"18","Acropoma japonicum","49354","49354-2_30","Feb",62,"crustacean",0.004
"19","Acropoma japonicum","48680","48680_11","May",62,"crustacean",16
"20","Acropoma japonicum","49354","49354-2_30","Feb",62,"fish",120
"21","Acropoma japonicum","48680","48680_11","May",62,"mollusk",12
"22","Acropoma japonicum","49354","49354_15","Feb",63,"animal",4
"23","Acropoma japonicum","49354","49354_9","Feb",63,"fish",220
"24","Acropoma japonicum","49354","49354-2_18","Feb",63,"fish",196
"25","Acropoma japonicum","49354","49354_7","Feb",64,"fish",255
"26","Acropoma japonicum","49354","49354-2_19","Feb",64,"fish",63
"27","Acropoma japonicum","49354","49354_17","Feb",64,"none",NA
"28","Acropoma japonicum","49354","49354_16","Feb",65,"none",NA
"29","Acropoma japonicum","49354","49354_22","Feb",66,"animal",4
"30","Acropoma japonicum","49354","49354_8","Feb",67,"fish",160
"31","Acropoma japonicum","49354","49354-2_28","Feb",67,"fish",276
"32","Acropoma japonicum","49354","49354_11","Feb",67,"none",NA
"33","Acropoma japonicum","49354","49354-2_14","Feb",68,"fish",8
"34","Acropoma japonicum","49354","49354-2_8","Feb",69,"none",NA
"35","Acropoma japonicum","49354","49354-2_10","Feb",69,"none",NA
"36","Acropoma japonicum","49354","49354-2_17","Feb",69,"none",NA
"37","Acropoma japonicum","49354","49354-2_29","Feb",69,"none",NA
"38","Acropoma japonicum","49354","49354-2_6","Feb",70,"none",NA
"39","Acropoma japonicum","49354","49354-2_13","Feb",70,"none",NA
"40","Acropoma japonicum","49354","49354-2_9","Feb",71,"none",NA
"41","Acropoma japonicum","48707","48707-3_1","May",112,"none",NA
"42","Acropoma japonicum","49354","49354-2_3","Feb",73,"crustacean",4
"43","Acropoma japonicum","49354","49354-2_3","Feb",73,"fish",15
"44","Acropoma japonicum","49354","49354_23","Feb",73,"none",NA
