"","Species","MJar","FishID","Month","SL","Category","Vol"
"1","Acropoma hanedai","48681","48681_1","May",99,"none",NA
"2","Acropoma hanedai","48681","48681_1(16)","May",46,"animal",4
"3","Acropoma hanedai","48681","48681_10","May",46,"none",NA
"4","Acropoma hanedai","48681","48681_2","May",89,"none",NA
"5","Acropoma hanedai","48681","48681_2(17)","May",49,"none",NA
"6","Acropoma hanedai","48681","48681_3","May",83,"none",NA
"7","Acropoma hanedai","48681","48681_3(18)","May",43,"none",NA
"8","Acropoma hanedai","48681","48681_4","May",52,"none",NA
"9","Acropoma hanedai","48681","48681_4(19)","May",46,"crustacean",8
"10","Acropoma hanedai","48681","48681_5","May",50,"none",NA
"11","Acropoma hanedai","48681","48681_5(20)","May",63,"animal",6
"12","Acropoma hanedai","48681","48681_6","May",46,"none",NA
"13","Acropoma hanedai","48681","48681_6(21)","May",93,"fish",1324
"14","Acropoma hanedai","48681","48681_7","May",50,"none",NA
"15","Acropoma hanedai","48681","48681_7(22)","May",82,"fish",12
"16","Acropoma hanedai","48681","48681_8","May",49,"none",NA
"17","Acropoma hanedai","48681","48681_8(23)","May",81,"none",NA
"18","Acropoma hanedai","48681","48681_9","May",49,"none",NA
"19","Acropoma hanedai","48696","48696_1","May",51,"none",NA
"20","Acropoma hanedai","48696","48696_2","May",55,"none",NA
"21","Acropoma hanedai","48696","48696_3","May",64,"fish",60.5
"22","Acropoma hanedai","48696","48696_4","May",55,"none",NA
"23","Acropoma hanedai","48696","48696_5","May",46,"none",NA
"24","Acropoma hanedai","48696","48696_6","May",52,"none",NA
"25","Acropoma hanedai","48696","48696_7","May",45,"none",NA
"26","Acropoma hanedai","48696","48696_8","May",44,"crustacean",3
"27","Acropoma hanedai","48706","48706_1","May",60,"none",NA
"28","Acropoma hanedai","48706","48706_2","May",59,"none",NA
"29","Acropoma hanedai","48706","48706_3","May",90,"none",NA
"30","Acropoma hanedai","48706","48706_4","May",53,"none",NA
"31","Acropoma hanedai","48733","48733_1(4)","May",114,"none",NA
"32","Acropoma hanedai","48733","48733_10(14)","May",43,"crustacean",12
"33","Acropoma hanedai","48733","48733_11(15)","May",51,"fish",12
"34","Acropoma hanedai","48733","48733_2","May",106,"none",NA
"35","Acropoma hanedai","48733","48733_3","May",97,"none",NA
"36","Acropoma hanedai","48733","48733_4(1)","May",101,"none",NA
"37","Acropoma hanedai","48733","48733_5","May",68,"none",NA
"38","Acropoma hanedai","48733","48733_6(10)","May",49,"none",NA
