"","Species","MJar","FishID","Month","SL","SClass","animal","crustacean","fish","mollusk","Content"
"1","Acropoma hanedai","48681","48681_1","May",99,1,0,0,0,0,0
"2","Acropoma hanedai","48681","48681_1(16)","May",46,0,4,0,0,0,1
"3","Acropoma hanedai","48681","48681_10","May",46,0,0,0,0,0,0
"4","Acropoma hanedai","48681","48681_2","May",89,1,0,0,0,0,0
"5","Acropoma hanedai","48681","48681_2(17)","May",49,0,0,0,0,0,0
"6","Acropoma hanedai","48681","48681_3","May",83,1,0,0,0,0,0
"7","Acropoma hanedai","48681","48681_3(18)","May",43,0,0,0,0,0,0
"8","Acropoma hanedai","48681","48681_4","May",52,0,0,0,0,0,0
"9","Acropoma hanedai","48681","48681_4(19)","May",46,0,0,8,0,0,1
"10","Acropoma hanedai","48681","48681_5","May",50,0,0,0,0,0,0
"11","Acropoma hanedai","48681","48681_5(20)","May",63,1,6,0,0,0,1
"12","Acropoma hanedai","48681","48681_6","May",46,0,0,0,0,0,0
"13","Acropoma hanedai","48681","48681_6(21)","May",93,1,0,0,1324,0,1
"14","Acropoma hanedai","48681","48681_7","May",50,0,0,0,0,0,0
"15","Acropoma hanedai","48681","48681_7(22)","May",82,1,0,0,12,0,1
"16","Acropoma hanedai","48681","48681_8","May",49,0,0,0,0,0,0
"17","Acropoma hanedai","48681","48681_8(23)","May",81,1,0,0,0,0,0
"18","Acropoma hanedai","48681","48681_9","May",49,0,0,0,0,0,0
"19","Acropoma hanedai","48696","48696_1","May",51,0,0,0,0,0,0
"20","Acropoma hanedai","48696","48696_2","May",55,0,0,0,0,0,0
"21","Acropoma hanedai","48696","48696_3","May",64,1,0,0,60.5,0,1
"22","Acropoma hanedai","48696","48696_4","May",55,0,0,0,0,0,0
"23","Acropoma hanedai","48696","48696_5","May",46,0,0,0,0,0,0
"24","Acropoma hanedai","48696","48696_6","May",52,0,0,0,0,0,0
"25","Acropoma hanedai","48696","48696_7","May",45,0,0,0,0,0,0
"26","Acropoma hanedai","48696","48696_8","May",44,0,0,3,0,0,1
"27","Acropoma hanedai","48706","48706_1","May",60,1,0,0,0,0,0
"28","Acropoma hanedai","48706","48706_2","May",59,0,0,0,0,0,0
"29","Acropoma hanedai","48706","48706_3","May",90,1,0,0,0,0,0
"30","Acropoma hanedai","48706","48706_4","May",53,0,0,0,0,0,0
"31","Acropoma hanedai","48733","48733_1(4)","May",114,1,0,0,0,0,0
"32","Acropoma hanedai","48733","48733_10(14)","May",43,0,0,12,0,0,1
"33","Acropoma hanedai","48733","48733_11(15)","May",51,0,0,0,12,0,1
"34","Acropoma hanedai","48733","48733_2","May",106,1,0,0,0,0,0
"35","Acropoma hanedai","48733","48733_3","May",97,1,0,0,0,0,0
"36","Acropoma hanedai","48733","48733_4(1)","May",101,1,0,0,0,0,0
"37","Acropoma hanedai","48733","48733_5","May",68,1,0,0,0,0,0
"38","Acropoma hanedai","48733","48733_6(10)","May",49,0,0,0,0,0,0
"39","Acropoma hanedai","48733","48733_7(11)","May",121,1,0,0,0,0,0
"40","Acropoma hanedai","48733","48733_8(12)","May",44,0,0,0,0,0,0
"41","Acropoma hanedai","48733","48733_9(13)","May",48,0,8,0,0,0,1
"42","Acropoma hanedai","48743","48743_1","May",76,1,0,0,585,0,1
"43","Acropoma hanedai","48743","48743_2(6)","May",70,1,0,0,300,0,1
"44","Acropoma hanedai","48743","48743_3(7)","May",74,1,0,0,360,0,1
"45","Acropoma hanedai","48743","48743_4(9)","May",69,1,0,0,852,0,1
"46","Acropoma hanedai","49353","49353-2_1","Feb",79,1,0,0,564,0,1
"47","Acropoma hanedai","49353","49353-2_2","Feb",75,1,0,0,0,0,0
"48","Acropoma hanedai","49353","49353-2_3","Feb",44,0,0,0,0,0,0
"49","Acropoma hanedai","49353","49353-2_4","Feb",39,0,0,0,0,0,0
"50","Acropoma hanedai","49353","49353-2_5","Feb",45,0,0,2,0,0,1
"51","Acropoma hanedai","49353","49353-2_6","Feb",42,0,0,0,0,0,0
"52","Acropoma hanedai","49353","49353-2_7","Feb",40,0,0,3,0,0,1
"53","Acropoma hanedai","49353","49353-2_8","Feb",35,0,0,0,0,0,0
"54","Acropoma hanedai","49353","49353_1","Feb",79,1,0,0,0,0,0
"55","Acropoma hanedai","49353","49353_10","Feb",56,0,0,0,0,0,0
"56","Acropoma hanedai","49353","49353_2","Feb",81,1,0,32,0,0,1
"57","Acropoma hanedai","49353","49353_3","Feb",79,1,0,25,0,0,1
"58","Acropoma hanedai","49353","49353_4","Feb",89,1,0,0,0,0,0
"59","Acropoma hanedai","49353","49353_5","Feb",48,0,0,0,0,0,0
"60","Acropoma hanedai","49353","49353_6","Feb",39,0,6,0,0,0,1
"61","Acropoma hanedai","49353","49353_7","Feb",74,1,0,0,0,0,0
"62","Acropoma hanedai","49353","49353_8","Feb",38,0,0,0,0,0,0
"63","Acropoma hanedai","49353","49353_9","Feb",38,0,0,33,0,0,1
"64","Acropoma hanedai","49384","49384_1","Feb",39,0,0,0,0,0,0
"65","Acropoma hanedai","49384","49384_10","Feb",39,0,0,0,0,0,0
"66","Acropoma hanedai","49384","49384_11","Feb",35,0,0,0,0,0,0
"67","Acropoma hanedai","49384","49384_12","Feb",36,0,0,0,0,0,0
"68","Acropoma hanedai","49384","49384_13","Feb",45,0,0,60,0,0,1
"69","Acropoma hanedai","49384","49384_14","Feb",33,0,0,7,0,0,1
"70","Acropoma hanedai","49384","49384_15","Feb",32,0,0,0,0,0,0
"71","Acropoma hanedai","49384","49384_16","Feb",36,0,0,4,0,0,1
"72","Acropoma hanedai","49384","49384_17","Feb",35,0,0,0,0,0,0
"73","Acropoma hanedai","49384","49384_18","Feb",35,0,0,4.5,0,0,1
"74","Acropoma hanedai","49384","49384_19","Feb",42,0,0,6,0,0,1
"75","Acropoma hanedai","49384","49384_2","Feb",40,0,0,0,0,0,0
"76","Acropoma hanedai","49384","49384_20","Feb",35,0,0,6,0,0,1
